Sample in Buffer,Sample in Window,TRIGGER,Brik1_u/PilotImag[17:0],Brik1_u/PilotReal[17:0]
25344,25344,0,-90954,-100475
25345,25345,0,-90954,-100475
25346,25346,0,-90954,-100475
25347,25347,0,-90954,-100475
25348,25348,0,-99796,-64979
25349,25349,0,-99796,-64979
25350,25350,0,-99796,-64979
25351,25351,0,-99796,-64979
25352,25352,0,-98858,-59672
25353,25353,0,-98858,-59672
25354,25354,0,-98858,-59672
25355,25355,0,-98858,-59672
25356,25356,0,-98133,-54111
25357,25357,0,-98133,-54111
25358,25358,0,-98133,-54111
25359,25359,0,-98133,-54111
25360,25360,0,-98133,-54111
25361,25361,0,-98133,-54111
25362,25362,0,-98133,-54111
25363,25363,0,-98133,-54111
25364,25364,0,-108163,-76540
25365,25365,0,-108163,-76540
25366,25366,0,-108163,-76540
25367,25367,0,-108163,-76540
25368,25368,0,-90683,-92627
25369,25369,0,-90683,-92627
25370,25370,0,-90683,-92627
25371,25371,0,-90683,-92627
25372,25372,0,-63783,-99716
25373,25373,0,-63783,-99716
25374,25374,0,-63783,-99716
25375,25375,0,-63783,-99716
25376,25376,0,-32414,-119379
25377,25377,0,-32414,-119379
25378,25378,0,-32414,-119379
25379,25379,0,-32414,-119379
25380,25380,0,2672,-120639
25381,25381,0,2672,-120639
25382,25382,0,2672,-120639
25383,25383,0,2672,-120639
25384,25384,0,17891,-107280
25385,25385,0,17891,-107280
25386,25386,0,17891,-107280
25387,25387,0,17891,-107280
25388,25388,0,45940,-102166
25389,25389,0,45940,-102166
25390,25390,0,45940,-102166
25391,25391,0,45940,-102166
25392,25392,0,54343,-93137
25393,25393,0,54343,-93137
25394,25394,0,54343,-93137
25395,25395,0,54343,-93137
25396,25396,0,80807,-109730
25397,25397,0,80807,-109730
25398,25398,0,80807,-109730
25399,25399,0,80807,-109730
25400,25400,0,80807,-109730
25401,25401,0,80807,-109730
25402,25402,0,80807,-109730
25403,25403,0,80807,-109730
25404,25404,0,84266,-104791
25405,25405,0,84266,-104791
25406,25406,0,84266,-104791
25407,25407,0,84266,-104791
25408,25408,0,82855,-100174
25409,25409,0,82855,-100174
25410,25410,0,82855,-100174
25411,25411,0,82855,-100174
25412,25412,0,74588,-103066
25413,25413,0,74588,-103066
25414,25414,0,74588,-103066
25415,25415,0,74588,-103066
25416,25416,0,70284,-94543
25417,25417,0,70284,-94543
25418,25418,0,70284,-94543
25419,25419,0,70284,-94543
25420,25420,0,69845,-98339
25421,25421,0,69845,-98339
25422,25422,0,69845,-98339
25423,25423,0,69845,-98339
25424,25424,0,65427,-95416
25425,25425,0,65427,-95416
25426,25426,0,65427,-95416
25427,25427,0,65427,-95416
25428,25428,0,51890,-99447
25429,25429,0,51890,-99447
25430,25430,0,51890,-99447
25431,25431,0,51890,-99447
25432,25432,0,54050,-113552
25433,25433,0,54050,-113552
25434,25434,0,54050,-113552
25435,25435,0,54050,-113552
25436,25436,0,54050,-113552
25437,25437,0,54050,-113552
25438,25438,0,54050,-113552
25439,25439,0,54050,-113552
25440,25440,0,15961,-131072
25441,25441,0,15961,-131072
25442,25442,0,15961,-131072
25443,25443,0,15961,-131072
25444,25444,0,-26400,-130088
25445,25445,0,-26400,-130088
25446,25446,0,-26400,-130088
25447,25447,0,-26400,-130088
25448,25448,0,-55091,-124092
25449,25449,0,-55091,-124092
